iter	Passed	Remaining
970	6820	203
971	6822	196
972	6823	189
973	6825	182
974	6826	175
975	6828	167
976	6829	160
977	6831	153
978	6833	146
979	6834	139
980	6836	132
981	6837	125
982	6838	118
983	6840	111
984	6841	104
985	6843	97
986	6844	90
987	6846	83
988	6847	76
989	6849	69
990	6850	62
991	6852	55
992	6853	48
993	6855	41
994	6856	34
995	6858	27
996	6860	20
997	6861	13
998	6863	6
999	6864	0
